Area name,Area budget,,,,,,,,,
Árbær,75,,,,,,,,,
Breiðholt,130,,,,,,,,,
Grafarholt og Úlfarsárdalur,60,,,,,,,,,
Grafarvogur,109,,,,,,,,,
Háaleiti og Bústaðir,96,,,,,,,,,
Hlíðar,76,,,,,,,,,
Kjalarnes,27,,,,,,,,,
Laugardalur,106,,,,,,,,,
Miðborg,67,,,,,,,,,
Vesturbær,104,,,,,,,,,
,,,,,,,,,,
Area Name,URL to original idea (optional),Costs,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Vesturbær,https://betrireykjavik.is/post/54552,40,"64.141507, -21.954913",,Opið grænt svæði á Hagatorgi,"Verkefnið felur í sér að umbreyta Hagatorgi yfir í opið grænt svæði með dvalarsvæði, gönguleiðum og gróðri.",Open green area at Hagatorg,"The project entails transforming Hagatorg into an open green area with rest areas, walking paths and greenery.","Otwarty, zielony teren na Hagatorg","Projekt zakłada przekształcenie Hagatorg w otwarty, zielony teren, z miejscem do rekreacji, alejkami i roślinnością.  "
Vesturbær,https://betrireykjavik.is/post/28984,3,"64.142998, -21.948704",,Grænni Reykjavík,Verkefnið felur í sér að gróðursetja tré á ákveðnum köflum meðfram Hringbraut.,Greener Reykjavík,The project entails planting trees on specific sections along Hringbraut.,Zieleńszy Reykjavík,Projekt zakłada zasadzenie drzew na konkretnych odcinkach wzdłuż Hringbraut.
Vesturbær,https://betrireykjavik.is/post/28863,8,,,Ærslabelgur í hverfinu,Verkefnið felur í sér að setja upp ærslabelg á opnu svæði í Vesturbænum.,Jumping pillow in the neighbourhood,The project entails setting up a jumping pillow in an open area in Vesturbær.,Dmuchana poducha w dzielnicy ,Projekt zakłada instalację poduchy dmuchanej na otwartej przestrzeni w Vesturbær.
Vesturbær,https://betrireykjavik.is/post/28528,10,"64.138318, -21.964162",,Sjósundsaðstaða við Ægisíða,Verkefnið felur í sér að setja upp sjósundsaðstöðu við Ægisíðuna með útiskiptiaðstöðu og kaldri sturtu.,Sea swimming facilities on Ægisíða,The project entails setting up sea swimming facilities on Ægisíða with outdoor changing facilities and a cold shower.,Kąpielisko morskie przy Ægisíða,Projekt zakłada stworzenie miejsca do przebierania i zamontowanie zimnego prysznica przy kąpielisku morskim Ægisíða.
Vesturbær,https://betrireykjavik.is/post/54553,25,"64.144560, -21.964327",,Lóðin við Sundlaug Vesturbæjar fyrir alla fjölskylduna,Verkefnið felur í sér að hanna og útbúa fjölbreytt leik- og dvalarsvæði á græna svæðinu við lóð Vesturbæjarlaugar. ,Lot by Vesturbær pool for the whole family,The project entails designing and creating a diverse play and rest area on the green area by the Vesturbæjarlaug lot.,Teren dla całej rodziny przy basenie Sundlaug Vesturbæjar,Projekt obejmuje zaprojektowanie i wyposażenie strefy zabawowo-rekreacyjnej na zielonym terenie przy Vesturbæjarlaug. 
Vesturbær,https://betrireykjavik.is/post/45735,13,"64.138392, -21.963965",,Lítinn pott á Ægisíðu,Verkefnið felur í sér að koma fyrir litlum potti niðri í fjöru við sjóinn svo gestir geti farið í fótabað.,Footbath on Ægisíða,The project entails installing a small hot pool on the beach so guests can have a footbath.,Mały brodzik na Ægisíða,"Projekt zakłada utworzenie małego baseniku na plaży, aby goście mogli sobie pomoczyć nogi."
Vesturbær,https://betrireykjavik.is/post/45813,7,"64.144108, -21.962619",,Útiæfingatæki,Verkefnið felur í sér að bæta við æfingatækjum við núverandi útiæfingarsvæði.,Outdoor exercise equipment,The project entails adding exercise equipment to the existing outdoor exercise area.,Siłownia pod chmurką,Projekt zakłada zwiększenie ilości sprzętu do ćwiczeń na istniejącej już siłowni pod chmurką.
Vesturbær,https://betrireykjavik.is/post/45758,10,,,Leikvöllur fyrir vel fullorðið fólk í Vesturbænum,Verkefnið felur í sér að koma upp leik– og æfingasvæði fyrir vel fullorðið fólk sem býður upp á fjölbreytta hreyfingu. ,Playground for elderly people in Vesturbær,The project entails building a play and exercise area for elderly people that offers diverse forms of movement.,Plac zabaw dla dorosłych w Vesturbær,"Projekt zakłada stworzenie placu ze sprzętem do ćwiczeń  dla seniorów, aby zapewnić im różnorodną aktywność ruchową. "
Vesturbær,https://betrireykjavik.is/post/45732,35,"64.141485, -21.954966",,Gosbrunnasvæði á Hagatorg,Verkefnið felur í sér að útbúa gosbrunnasvæði á opna græna svæðinu á Hagatorgi.,Fountain playground on Hagatorg,The project entails creating a fountain playground on the open green area on Hagatorg.,Fontanna na Hagatorg,Projekt zakłada instalację fontanny na otwartym terenie zieleni na Hagatorg. 
Vesturbær,https://betrireykjavik.is/post/45738,7,"64.128987, -21.954376",,Dvalarsvæði í Skerjafirði,Verkefnið felur í sér að útbúa dvalarsvæði á opnu leiksvæði í Skerjafirði.,Rest area in Skerjafjörður,The project entails creating a rest area on the open play area in Skerjafjörður.,Miejsce do wypoczynku w Skerjafjörður ,Projekt zakłada utworzenie miejsca do wypoczynku na otwartym terenie rekreacyjnym w Skerjafjörður.
Vesturbær,https://betrireykjavik.is/post/45815,15,,,Klifursteinn,Verkefnið felur í sér að setja upp klifurstein og tilheyrandi fallvarnarundirlag á opnu svæði í Vesturbænum.,Climbing boulder,The project entails setting up a climbing boulder and the appropriate underlay in an open area in Vesturbær.,Głaz wspinaczkowy,Projekt zakłada instalację głazu wspinaczkowego i nawierzchni upadkowej.
Vesturbær,https://betrireykjavik.is/post/45721,4,"64.136660, -21.958345",,Grillaðstaða á Lynghagaróló,Verkefnið felur í sér að koma upp grillaðstöðu á Lynghagaróló með útigrilli og bekkjum.,Barbecue facilities on Lynghagi playground,The project entails building barbecue facilities on the Lynghagi playground with outdoor barbecues and benches.,Miejsce do grillowania na placu zabaw Lynghagaróló,Projekt obejmuje utworzenie miejsca do grillowania z grillami i ławkami na placu zabaw Lynghagaróló.
Vesturbær,https://betrireykjavik.is/post/45763,25,"64.134860, -21.960705",,Sparkvöllur við Starhaga,Verkefnið felur í sér að betrumbæta sparkvöll við Starhaga með gervigrasi og girðingum bakvið mörkin. ,Mini football pitch on Starhagi,The project entails improving the mini football pitch on Starhagi with artificial grass and fences behind the goals.,Boisko do piłki przy Starhagi,Projekt zakłada unowocześnienie boiska do piłki przy Starhagi: murawa i ogrodzenie za bramkami.   
Vesturbær,https://betrireykjavik.is/post/45784,20,,,Hjólabrettagarður,Verkefnið felur í sér að koma upp hjólabrettaaðstöðu á opnu svæði í hverfinu. ,Skateboard park,The project entails building skateboard facilities in an open area in the neighbourhood.,Skatepark,Projekt zakłada utworzenie parku dla deskorolek w dzielnicy. 
Vesturbær,https://betrireykjavik.is/post/45727,12,,,Örugg hjólastæði,Verkefnið felur í sér að koma upp öruggum hjólastæðum á opnum svæðum í hverfinu.,Secure bike parking,The project entails building secure bike parking in open areas in the neighbourhood.,Bezpieczne miejsca dla rowerów,Projekt zakłada utworzenie bezpiecznego miejsca do prakowania rowerów na otwartych terenach w dzielnicy.
Vesturbær,https://betrireykjavik.is/post/45773,15,,,Listaverk sem bjóða upp á leik,Verkefnið felur í sér að reisa listaverk á opnu svæði í hverfinu sem býður upp á  leikmöguleika fyrir börn og fullorðna.,Interactive artwork,The project entails installing an artwork in an open area in the neighbourhood that facilitates play for all ages.,Prace artystyczne dla rozrywki,"Projekt polega na ustawieniu w sąsiedztwie prac artystycznych, które będą dla rozrywki dla dzieci i dorosłych."
Vesturbær,https://betrireykjavik.is/post/45819,25,"64.128639, -21.953788",,Sparkvöllur í Skerjafjörð,Verkefnið felur í sér endurgera núverandi sparkvöll við Skerjafjörð með gervigrasi og girðingum fyrir aftan mörkin.,Mini football pitch in Skerjafjörður,The project entails remaking the mini football pitch by Skerjafjörður with artificial grass and fences behind the goals.,Boisko do piłki przy Skerjafjörð,Projekt zakłada odnowienie boiska przy Skerjafjörður: murawa i ogrodzenie za bramkami.
Vesturbær,https://betrireykjavik.is/post/45803,11,,,Strandblakvöllur,Verkefnið felur í sér að koma upp strandblakvelli á opnu svæði í hverfinu.,Beach volleyball court,The project entails building a beach volleyball court in an open area in the neighbourhood.,Boisko do siatkówki plażowej,Projekt zakłada utworzenie boiska do siatkówki plażowej w wybranym miejscu w okolicy.
Vesturbær,https://betrireykjavik.is/post/45759,14,"64.146784, -21.959139",,Endurgera leiksvæði við Reynimel 70,Verkefnið felur í sér að endurgera opið leiksvæði við Reynimel 70 með nýjum leiktækjum og yfirborðsefni.,Remake play area at Reynimelur 70,The project entails remaking the open play area at Reynimelur 70.,Odnowienie placu zabaw na Reynimelur 70,Projekt zakłada odnowienie placu zabaw przy Reynimelur 70.
Vesturbær,https://betrireykjavik.is/post/45764,9,"64.148812, -21.953634",,Endurbætur á Bláa róló,"Verkefnið felur í sér að endurbæta opið leiksvæði, oft kallað Blái róló, með nýjum leiktækjum og yfirborðsefni.","Improvements to ""Blue playground""","The project entails improving the open play area, often called Blái róló, with new play equipment and surfacing.",Renowacja niebieskiego placu zabaw,"Projekt zakłada renowację placu zabaw, często nazywanego niebieskim: nowy sprzęt i nawierzchnia."
Vesturbær,https://betrireykjavik.is/post/45810,2,,,Útiborðtennisborð á skjólsæla staði,Verkefnið felur í sér að koma fyrir útiborðtennisborði á skjólsælu opnu svæði í Vesturbænum.,Outdoor table tennis tables in sheltered areas,The project entails installing outdoor table tennis tables in sheltered open areas in Vesturbær.,Stół do tenisa stołowego w osłoniętym miejscu,Projekt zakłada postawienie stołu do tenisa stołowego w osłoniętym od wiatru miejscu w Vesturbær.
Vesturbær,https://betrireykjavik.is/post/45777,15,"64.141925, -21.947170",,Yfirbyggt hjólastæði við strætóskýlið hjá Háskóla Íslands,Verkefnið felur í sér að koma upp yfirbyggðu hjólastæði við strætóskýlið hjá Háskóla Íslands við Melatorg.,Covered bike parking by the University of Iceland bus stop,The project entails building covered bike parking by the bus stop at Háskóli Íslands by Melatorg.,Parking dla rowerów przy przystanku Háskóli Íslands.,Projekt zakłada utworzenie zadaszonego parkingu rowerowego przy przystanku autobusowym uniwersytetu  przy Melatorg.
Vesturbær,https://betrireykjavik.is/post/45715,4,"64.150208, -21.977209",,Fleiri stiga niður í fjöru við Eiðsgranda,Verkefnið felur í sér að setja upp fleiri stiga niður í fjöru við Eiðsgranda.,More staircases down to the beach on Eiðsgrandi,The project entails putting up more staircases down to the beach on Eiðsgrandi.,Zwiększenie ilości zejść na plażę przy Eiðsgrandi,Projekt zakłada zwiększenie ilości zejść na plażę przy Eiðsgrandi.
