Area name,,,,,,,,,,,
Árbær,41,,,,,,,,,,
Breiðholt,67,,,,,,,,,,
Grafarholt og Úlfarsárdalur,31,,,,,,,,,,
Grafarvogur,56,,,,,,,,,,
Háaleiti og Bústaðir,51,,,,,,,,,,
Hlíðar,41,,,,,,,,,,
Kjalarnes,14,,,,,,,,,,
Laugardalur,57,,,,,,,,,,
Miðborg,39,,,,,,,,,,
Vesturbær,53, ,,,,,,,,,
 , , , , , , ,,,,,
Area Name,Image URL or Post URL,Costs,Location 1,Location 2 (optional),PDF to DL (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Vesturbær,https://sahverfidmitt.blob.core.windows.net/hverfidmitt/Myndir/Vesturbaer/Hm4-2422.jpg,32000000,"64.14462328452286, -21.9627697035997",,https://sahverfidmitt.blob.core.windows.net/hverfidmitt/Kjorsedlar/Vesturbaer/HM4-2422-Infrarau%C3%B0%20sauna%20%C3%AD%20Vesturb%C3%A6jarlaug.pdf,Infrarauð sauna í Vesturbæjarlaug,Verkefnið felur í sér að setja upp infrarauða saunu í Vesturbæjarlaug.,Infrared sauna at Vesturbæjarlaug ,The project entails installing an infrared sauna at Vesturbæjarlaug.,Sauna na podczerwień w Vesturbæjarlaug,Projekt obejmuje instalację sauny na podczerwień w Vesturbæjarlaug.
Vesturbær,https://sahverfidmitt.blob.core.windows.net/hverfidmitt/Myndir/Vesturbaer/Hm4-2427.jpg,32000000,"64.15227213052981,-21.949248193670662",,https://sahverfidmitt.blob.core.windows.net/hverfidmitt/Kjorsedlar/Vesturbaer/HM4-2427-Leiksv%C3%A6%C3%B0i%20vi%C3%B0%20Vesturbugt.pdf,Leiksvæði við Vesturbugt,Verkefnið felur í sér að gera fjölskyldusvæði og leikvöll við Vesturbugt í samræmi við skipulag svæðis.,Playground at Vesturbugt,The project entails making a family area and a playground at Vesturbugt in accordance with plans for the area.,Plac zabaw przy Vesturbugt,Projekt obejmuje utworzenie strefy rodzinnej i placu zabaw na Vesturbugt zgodnie z zagospodarowaniem terenu.
