Area name,Area budget,,,,,,,,,
Kársnes,33,,,,,,,,,
Digranes,62,,,,,,,,,
Smárahverfi,24,,,,,,,,,
Lindir og Salir,36,,,,,,,,,
Vatnsendi,45,,,,,,,,,
,,,,,,,,,,
Area Name,URL to original idea (optional),Costs,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl
Kársnes,https://yrpri.org/post/59375,25,"64.116694, -21.904907",,Göngu- og hjólastígar meðfram strönd Kársness,Aðskilja göngu- og hjólastíga á Kársnesstíg,Foot and cycle paths along the coast of Kársnes,Separation of foot and cycle paths on Kársnesstígur,Ścieżki spacerowe i rowerowe wzdłuż wybrzeża Kársnes,Projekt zakłada rozdzielenie ścieżek spacerowych i rowerowych w Kársnesstígur
Kársnes,https://yrpri.org/post/59379,25,"64.115487, -21.916381",,Kársnesstígur við Fossvog,Lagfæra göngustíg milli Huldubrautar og Naustavarar,Kársnesstígur at Fossvogur,Make repairs to the footpath between Huldubraut and Naustavör,Kársnesstígur w Fossvogur,Projekt zakłada naprawę ścieżki spacerowej pomiędzy ulicami Huldubraut i Naustavör
Kársnes,https://yrpri.org/post/59374,4,"64.104774, -21.916280",,Merkingar fyrir hjólreiðafólk,Fjölga merkingum fyrir hjólreiðafólk á Kársnesi,Markings for cyclists,Increase the number of markings for cyclists in Kársnes,Oznakowanie dla rowerzystów,Projekt zakłada zwiększenie liczby znaków dla rowerzystów w Kársnes
Kársnes,https://yrpri.org/post/59371,8,"64.115506, -21.913629",,Æfingatæki við norðanverðan Kársnesstíg,Setja upp æfingatæki hjá leiksvæði við Huldubraut (Sjóræningjaróló),Exercise devices at the northern part of Kársnesstígur,Install exercise devices by the play area at Huldubraut (the pirate playground),Trenażery w północnej części Kársnesstígur,Projekt zakłada zamontowanie trenażerów przy ulicy Huldubraut (piracki plac zabaw)
Kársnes,https://yrpri.org/post/62165,8,"64.107835, -21.931213",,Fróðleiksskilti við Kársnesstíg og skýli við Sunnubraut,Setja upp náttúrufræðandi skilti meðfram ströndinni og byggja skýli við Sunnubraut þar sem bátaskýli er nú,Information plaques at Kársnesstígur and shelter at Sunnubraut,Install plaques with information about the local nature along the coast and build a shelter at Sunnubraut where the boat shelter currently stands,Tabliczki informacyjne w Kársnesstígur i zadaszenie przy ulicy Sunnubraut,"Projekt zakłada umieszczenie tabliczek z informacjami o lokalnej przyrodzie wzdłuż wybrzeża i wybudowanie zadaszenia przy ulicy Sunnubraut w miejscu, w którym obecnie przechowywane są łodzie"
Kársnes,https://betraisland.is/post/62026,3,"64.104774, -21.920000",,Fjölga bekkjum við Kársnesstíg,Setja 5 bekki við göngustíg meðfram nesinu,Increase the number of benches at Kársnesstígur,Install 5 benches on the foot path that extends along the cape,Zwiększenie liczby ławek w Kársnesstígur,Projekt zakłada zamontowanie 5 ławek przy ścieżce spacerowej wzdłuż cypla
Kársnes,https://yrpri.org/post/58987,24,"64.109590, -21.921922",,Skólahreystibraut við Kársnesskóla,Setja upp skólahreystibraut við Kársnesskóla,Fitness track for school children at Kársnes school,Install a fitness track for school children at Kársnes school,Tor sprawnościowy dla dzieci w szkole w Kársnes,Projekt zakłada budowę toru sprawnościowego dla dzieci w szkole w Kársnes
Kársnes,https://yrpri.org/post/59150,9,"64.109742, -21.917632",,Leiktæki á Rútstúni fyrir hreyfihamlaða,Bæta við leiktækjum á Rútstúni sem börn með hreyfihömlun geta notað,Playground equipment on Rútstún for children with reduced mobility,Add more playground equipment on Rútstún for the use of children with reduced mobility,Sprzęt dla niepełnosprawnych dzieci (Rútstún),Projekt zakłada zamontowanie urządzeń zabawowych przeznaczonych dla dzieci o ograniczonej sprawności ruchowej na placu zabaw na terenie Rútstún
Kársnes,https://yrpri.org/post/59589,9,"64.105756, -21.909693",,Fuglaskoðunarhús við Kópavoginn,Setja upp fuglaskoðunarhús (-skýli) við Kópavogsleiru,Bird watching house at Kópavogur bay,Install a bird watching house (shelter) at Kópavogsleira,Domek do obserwacji ptaków w zatoce Kópavogur,Projekt zakłada budowę domku (zadaszenia) do obserwacji ptaków w Kópavogsleira
Kársnes,https://yrpri.org/post/59213,22,"64.116982, -21.901746",,Lýsing á norðanverðum Kársnesstíg,Bæta lýsingu á Kársnesstíg við Fossvoginn,Lighting of the northern part of Kársnesstígur,Add a lighting to Kársnesstígur at Fossvogur,Oświetlenie północnej części Kársnesstígur,Projekt zakłada montaż oświetlenia szlaku Kársnesstígur w pobliżu Fossvogur
