,,Area name,Area budget,,,,,,,,,,,,,,,
,,Kársnes,33,,,,,,,,,,,,,,,
,,Digranes,62,,,,,,,,,,,,,,,
,,Smárahverfi,24,,,,,,,,,,,,,,,
,,Fífuhvammur,36,,,,,,,,,,,,,,,
,,Vatnsendi,45,,,,,,,,,,,,,,,
,,Samtals:,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Nr,Area Name,URL to original idea (optional),Cost,Location 1,Location 2 (optional),Name-is,Description-is,Name-en,Description-en,Name-pl,Description-pl,,,,,,
1,K6,Kársnes,https://yrpri.org/post/59375,25,"64.116694, -21.904907",,Göngu- og hjólastígar meðfram strönd Kársness,Aðskilja göngu- og hjólastíga á Kársnesstíg,,,,,,,,,,
2,K45,Kársnes,https://yrpri.org/post/59379,25,"64.115487, -21.916381",,Kársnesstígur við Fossvog,Lagfæra göngustíg milli Huldubrautar og Naustavarar,,,,,,,,,,
3,K65,Kársnes,https://yrpri.org/post/59374,4,,,Merkingar fyrir hjólreiðafólk,Fjölga merkingum fyrir hjólreiðafólk á Kársnesi,,,,,,,,,,
4,K30,Kársnes,https://yrpri.org/post/59371,8,"64.115506, -21.913629",,Æfingatæki við norðanverðan Kársnesstíg,Setja upp æfingatæki hjá leiksvæði við Huldubraut (Sjóræningjaróló),,,,,,,,,,
5,K….,Kársnes,https://yrpri.org/post/62165,8,"64.107835, -21.931213",,Fróðleiksskilti við Kársnesstíg og skýli við Sunnubraut,Setja upp náttúrufræðandi skilti meðfram ströndinni og byggja skýli við Sunnubraut þar sem bátaskýli er nú,,,,,,,,,,
6,K….,Kársnes,https://betraisland.is/post/62026,3,,,Fjölga bekkjum við Kársnesstíg,Setja 5 bekki við göngustíg meðfram nesinu,,,,,,,,,,
7,K7,Kársnes,https://yrpri.org/post/58987,24,"64.109590, -21.921922",,Skólahreystibraut við Kársnesskóla,Setja upp skólahreystibraut við Kársnesskóla,,,,,,,,,,
8,K22,Kársnes,https://yrpri.org/post/59150,9,"64.109742, -21.917632",,Leiktæki á Rútstúni fyrir hreyfihamlaða,Bæta við leiktækjum á Rútstúni sem börn með hreyfihömlun geta notað,,,,,,,,,,
9,K61,Kársnes,https://yrpri.org/post/59589,9,"64.105756, -21.909693",,Fuglaskoðunarhús við Kópavoginn,Setja upp fuglaskoðunarhús (-skýli) við Kópavogsleiru,,,,,,,,,,
10,K14,Kársnes,https://yrpri.org/post/59213,22,"64.116982, -21.901746",,Lýsing á norðanverðum Kársnesstíg,Bæta lýsingu á Kársnesstíg við Fossvoginn,,,,,,,,,,
11,K34,Kársnes,https://yrpri.org/post/59587,16,"64.109354, -21.921800",,Körfuboltavöllur við Kársnesskóla,Gera nýjan körfuboltavöll við Kársnesskóla,,,,,,,,,,
12,K8,Kársnes,https://yrpri.org/post/59288,14,"64.109317, -21.917870",,Grillskýli á Rútstún,Setja upp grillskýli á Rútstúni,,,,,,,,,,
